institution_location	specimen_origin	collection_code	collection_name	collection_name2
		USNH-SI-AG	American Grasses from the U.S. National Herbarium, Smithsonian Institution	
Oklahoma	New Mexico	UOK-BH-PNM	Bebb Herbarium of the University of Oklahoma. Plants of New Mexico	
Oklahoma	Oklahoma	UOK-BH-POK	Bebb Herbarium of the University of Oklahoma. Plants of Oklahoma	
	MEXICO	PME-CGP	C.G. Pringle. Plantae Mexicanea. 1889	
	MEXICO	PME-CGP-JAL	C.G. Pringle. Plantae Mexicanea. 1893. State of Jalisco	
Utah		CCM	Carbon County Museum	
	Nevada	FCM	Charleston Mts. Flora. Clark Co., Nevada. Distributed by I.W. Clokey	
		C-MHW	Collection of Matt H. Whisenhunt, Jr.	
	Texas	WTP	Collection of West Texas Plants	
Texas		AMCT-DRM	Deparment of Range Management. Agricultural & Mechanical College of Texas	
Texas		AMCT-DRM-PBZC	Deparment of Range Management. Agricultural & Mechanical College of Texas. Plants of Brazos County, Texas	
Texas		AMCT-RF	Department of Range & Forestry, A&M College of Texas. Range Plants	Department of Range Management. Agricultural & Mechanical College of Texas
		H-A	Eggert. Herbarium Americanum	
		H-ENCB	Escuela Nacional de Ciencias Biologicas. Instituto Politecnico Nacional. Herbario.	
Australia		H-ESWA	Ex State Herbarium. Western Australia	
Nebraska		EH-HH	Exchange Herbarium of Dr. H. Hapeman. Minden, Nebraska, U.S.A.	
		FCG	F.C. Greene Collection	
	MEXICO	FME-V	Flora de Mexico. State of Vera cruz	
	MEXICO	H-M	Flora Mexicana. Matuda Herbarium	
	Alabama	FAL-WC	Flora of Alabama. Flora of Washington County	
	North Carolina	FDRB	Flora of Deep River Basin, Lee Co. N.C.	
Massachusetts	Massachusetts	HWC-PEM	Flora of Easter Massachusetts. Herbarium of Wellesley College.	
Kansas	Kansas	FHKSC-FKS	Flora of Kansas. Fort Hays Kansas State College. F.W. Albertson	
	Massachusetts	FMA	Flora of Massachusetts	
	MEXICO	FME-V	Flora of Mexico	
	New Jersey	FNJ	Flora of New Jersey	
	New Mexico	FNM	Flora of New Mexico	
	Ohio	FOH	Flora of Ohio	
	MEXICO	FV	Flora of Veracruz	
	Vermont	FVE	Flora of Vermont	
	USA-	FWC	Flora of Washington County	
USA		FSH	Forest Service Herbarium. U.S. Department of Agriculture	
	ZIMBABWE	GH	Government Herbarium, Salisbury. Flora of Southern Rhodesia	
		H-JMG	Herb. [Herbarium] J.M. Grant	
MEXICO	MEXICO	H-ENCB-PH	Herbario de la Escuela Nacional de Ciencias Biologicas. Instituto Politecnico Nacional-Mexico, D.F. Plantas de Hidalgo	
MEXICO	MEXICO	H-ENCB-PO	Herbario de la Escuela Nacional de Ciencias Biologicas. Instituto Politecnico Nacional-Mexico, D.F. Plantas de Oaxaca	
MEXICO	MEXICO	H-ENCB-PSLP	Herbario de la Escuela Nacional de Ciencias Biologicas. Instituto Politecnico Nacional-Mexico, D.F. Plantas de San Luis Potosi colectadas por J. Rzedowski, MA. E. Sanchez, R. Cruz y alumnos acompanantes	
MEXICO	MEXICO	H-ENCB-PT	Herbario de la Escuela Nacional de Ciencias Biologicas. Instituto Politecnico Nacional-Mexico, D.F. Plantas de Tamaulipas colectadas por J. Rzedowski, MA. E. Sanchez, R. Cruz y alumnos acompanantes	
MEXICO	MEXICO	H-ENCB-PM	Herbario de la Escuela Nacional de Ciencias Biologicas. Instituto Politecnico Nacional-Mexico, D.F. Plantas mexicanas.	
MEXICO	MEXICO	H-IB-PJ	Herbario Nacional de Mexico. Instituto de Biologia (MEXU). Plantas de Mexico: Jalisco	
MEXICO	MEXICO	H-NM-PM	Herbario Nacional de Mexico. Plantas de Mexico	
MEXICO		H-NM	Herbario Nacional de Mexico: Michoacan. Herbario Nacional, Mexico (MEXU) y Herbario Esc. de Biologia UMSNH	
MEXICO	MEXICO	H-CPC	Herbario-Hortorio del Colegio de Postgraduados Chapingo, Mexico. Plantas de Mexico	
Texas		H-AMCT	Herbarium Agricultural and Mechanical College of Texas. Department of Biology	
Australia		H-A-DPI	Herbarium Australiense. Division of Plant Industry-C.S.I.R.O.-Canberra. Collected and distributed by Land Research and Regional Survey Section, C.S.I.R.O., Canberra	
	Pennsylvania	H-CM-FPA	Herbarium Carnegie Museum, Pittsburg, Pa. Flora of Pa [Pennsylvania], Crawford Co.	
Kansas	Michigan	H-KSAC-PMI	Herbarium Kansas State Agricultural College. Plants of Michigan. Emmet County	
Kansas	Kansas	H-KSCA-PKS	Herbarium Kansas State College of Agriculture and Applied Science Manhattan. Plants of Kansas	
		H-LEE	Herbarium L.E. Elledge	
Massachusetts		H-MBL	Herbarium Marine Biological Laboratory. Woods Hole, Mass.	
Arizona	Arizona	H-ASU-PZ	Herbarium of Arizona State University. Plants of Arizona	University of Arizona Herbarium. Plants of Arizona
Arizona	California	H-ASU-PC	Herbarium of Arizona State University. Plants of California	
Arizona	Florida	H-ASU-PFL	Herbarium of Arizona State University. Plants of Florida	
Arizona	Washington	H-ASU-PW	Herbarium of Arizona State University. Plants of Washington	
Utah		H-BYU	Herbarium of Brigham Young University, Provo, Utah	
Indiana	Indiana	H-BU-FIN	Herbarium of Butler University. Flora of Indiana Collected by Ray C. Friesner	
New Mexico		H-ENMJC	Herbarium of Eastern New Mexico Junior College	
		H-GBH	Herbarium of Geo. B. Hinton	
		H-HSTJ	Herbarium of Harold St. John [Professor of botany at the University of Hawai at Manoa from 1929-1958]	
		H-HPC	Herbarium of Howard Payne College	
Texas	Texas	H-HPC-BGWMA	Herbarium of Howard Payne College. Black Gap Wildlife Management Area	
Iowa		H-ISC	Herbarium of Iowa State College	
		H-JKS	Herbarium of John K. Small	
		H-JKS-BL	Herbarium of John K. Small. Budd's Lake, Sussex County, N.J. Legit, August 12-14, 1890, John K. Small	
	Pennsylvania	H-JKS-PA	Herbarium of John K. Small. Collected in the vicinity of Lancaster, PA., by John Small	
		H-JKS-PS	Herbarium of John K. Small. Potamogetones Scandinavici	
Kansas	Kansas	H-KSTC-FK	Herbarium of Kansas State Teachers College, Emporia, Kansas. Flora of Kansas	
	Maine	H-KF	Herbarium of Kate Furbish. Received November, 1908. Maine Flora, Androscoccin County. Valley of the Androscoggin River. South Poland 1893.	
New Hampshire	New Hampshire	H-KSC-FNH	Herbarium of Keene State College. Flora of New Hampshire	
Texas		H-LJC	Herbarium of Laredo Junior College	
	California	H-LCW	Herbarium of Louis C. Wheeler. Flora of California	
Canada		H-MGD	Herbarium of Margaret G. Dudley, Winnipeg, Canada	
West Virginia	West Virginia	H-MC-FWV-PGC	Herbarium of Marshall College. Flora of West Virginia. Giles County	
West Virginia	West Virginia	H-MC-FWV	Herbarium of Marshall College. Flora of West Virginia. Wayne County	
		H-MSU	Herbarium of Midwestern State University	
Australia		H-NT	Herbarium of Nothern Territory. Alice Springs, Australia	
Oklahoma	Ohio	H-OAMC-POH	Herbarium of Oklahoma A&M College. Plants of Ohio	
Oklahoma	Oklahoma	H-OAMC-POK	Herbarium of Oklahoma A. & M. College. Plants of Oklahoma	Herbarium of Oklahoma A. & M. College. Flora of Oklahoma
Oklahoma		H-OAMC	Herbarium of Oklahoma Agricultural and Mechanical College. Stillwater. Oklahoma	
Oklahoma	Colorado	H-OSU-PCO	Herbarium of Oklahoma State University. Plants of Colorado	
Oklahoma		H-OSU-PC	Herbarium of Oklahoma State University. Plants of cultivation	
Oklahoma	Delaware	H-OSU-PD	Herbarium of Oklahoma State University. Plants of Delaware	
Oklahoma	Kansas	H-OSU-PK	Herbarium of Oklahoma State University. Plants of Kansas	
Oklahoma	MEXICO	H-OSU-PM	Herbarium of Oklahoma State University. Plants of Mexico	
Oklahoma	New Mexico	H-OSU-PNM	Herbarium of Oklahoma State University. Plants of New Mexico	
Oklahoma	Oklahoma	H-OSU-POK	Herbarium of Oklahoma State University. Plants of Oklahoma	
Oklahoma	Texas	H-OSU-PTX	Herbarium of Oklahoma State University. Plants of Texas	
Oklahoma	Texas	H-OSU-PTXP	Herbarium of Oklahoma State University. Plants of the Texas Panhandle	
	Texas	H-OS	Herbarium of Omer Sperry	
	Texas	H-OS-PBRC	Herbarium of Omer Sperry. Plants fo Brazos County, Texas	
	Texas	H-OS-PBWC	Herbarium of Omer Sperry. Plants fo Brewster County, Texas	
Oklahoma		H-PAMC	Herbarium of Panhandle A. & M. College	
Oklahoma	Colorado	H-PAMC-FCO	Herbarium of Panhandle A. & M. College. Goodwell, Oklahoma. Flora of Colorado	
Oklahoma	Oklahoma	H-PAMC-FOK	Herbarium of Panhandle A. & M. College. Goodwell, Oklahoma. Flora of Oklahoma	
Oklahoma	Kansas	H-PAMC-FKS	Herbarium of Panhandle A. & M. College. Goodwell. Oklahoma. Flora of Kansas	
North Carolina		H-PWC	Herbarium of Patrick W. Carlton. North Carolina	
California		H-SFSC	Herbarium of San Francisco State College	
		H-FS	Herbarium of the Forest Service. U.S. Department of Agriculture	
Oklahoma		H-OAMC	Herbarium of the Oklahoma Agricultural and Mechanical College, Stillwater, Oklahoma	
Texas		H-WWF	Herbarium of the Rob and Bessie Welder Wildlife Foundation	
Colorado	Colorado	H-UC-PSLV	Herbarium of the University of Colorado. Plants of the San Luis Valley in Southern Colorado	
Michigan		H-UM	Herbarium of the University of Michigan	
Michigan	Michigan	H-UM-FDLR	Herbarium of the University of Michigan. Flora of the Douglas Lake Region. Emmet and Cheboygan Counties, Michigan.	
Michigan	Great Lakes Region	H-UM-PGLR	Herbarium of the University of Michigan. Flora of the Great Lake Region / Plants of the Great Lakes Region	Herbarium of the University of Michigan. Plants of theGreat Lake Region
Michigan	Michigan	H-UM-PWC	Herbarium of the University of Michigan. Plants of Washtenaw County, Michigan	
North Carolina	North Carolina	H-UNC-PCHC	Herbarium of the University of North Carolina. North Carolina. Chatham County. Collected for the "Flora of the Carolinas"	
North Carolina	North Carolina	H-UNC-PGC	Herbarium of the University of North Carolina. North Carolina. Graham Co.	
North Carolina		H-UNC	Herbarium of the University of North Carolina. North Carolina. Harnett County. Collected for the "Flora of the Carolinas"	
North Carolina		H-UNC-PWC	Herbarium of the University of North Carolina. North Carolina. Wayne County. Collected for the "Flora of the Carolinas"	
North Carolina	USA-	H-UNC-POC	Herbarium of the University of North Carolina. Orange Co., N.C.	
Indiana	Alaska	H-UND-PAK	Herbarium of the University of Notre Dame. Notre Dame, Indl, U.S.A. Plants of Alaska- Kodiak Island	
Oklahoma	Oklahoma	H-UO-POK	Herbarium of the University of Oklahoma. Plants of Oklahoma	
Texas		H-UT	Herbarium of the University of Texas	Herbarium of the Unversity [University] of Texas
Texas	Alaska	H-UT-PAK	Herbarium of the University of Texas. Plants of Alaska	
Texas	Texas	H-UT-PAC	Herbarium of the University of Texas. Plants of Andrews County, Texas	
Texas	Texas	H-UT-PARC	Herbarium of the University of Texas. Plants of Armstrong County, Texas	
Texas	Texas	H-UT-PBC	Herbarium of the University of Texas. Plants of Bastrop County, Texas	
Texas	Texas	H-UT-PBWC	Herbarium of the University of Texas. Plants of Brewster County, Texas	
Texas	Texas	H-UT-PCIC	Herbarium of the University of Texas. Plants of Cimarron County, Texas	
Texas	Texas	H-UT-PCLC	Herbarium of the University of Texas. Plants of Clay County, Texas	
Texas	Texas	H-UT-PDC	Herbarium of the University of Texas. Plants of Dallam County, Texas	
Texas	Texas	H-UT-PDIC	Herbarium of the University of Texas. Plants of Dickens County, Texas	
Texas	Texas	H-UT-PFC	Herbarium of the University of Texas. Plants of Frio County, Texas	
Texas	Texas	H-UT-PHLC	Herbarium of the University of Texas. Plants of Hale County, Texas	
Texas	Texas	H-UT-PHAC	Herbarium of the University of Texas. Plants of Hartley County, Texas	
Texas	Texas	H-UT-PHIC	Herbarium of the University of Texas. Plants of Hidalgo County, Texas	
Texas	Texas	H-UT-PKC	Herbarium of the University of Texas. Plants of Kenedy County, Texas	
Texas	Texas	H-UT-PMC	Herbarium of the University of Texas. Plants of Moore County, Texas	
Texas	MEXICO	H-UT-PNL	Herbarium of the University of Texas. Plants of Nuevo Leon, Mexico	
Texas	Texas	H-UT-POLC	Herbarium of the University of Texas. Plants of Oldham County, Texas	
Texas	Texas	H-UT-PPEC	Herbarium of the University of Texas. Plants of Pecos County, Texas	
Texas	Texas	H-UT-PPOC	Herbarium of the University of Texas. Plants of Polk County, Texas	
Texas	Texas	H-UT-PPTC	Herbarium of the University of Texas. Plants of Potter County, Texas	
Texas	Texas	H-UT-PPRC	Herbarium of the University of Texas. Plants of Presidio County, Texas	
Texas	Texas	H-UT-PTRC	Herbarium of the University of Texas. Plants of Travis County, Texas	
Texas	Texas	H-UT-PWKC	Herbarium of the University of Texas. Plants of Walker County, Texas	
Texas	Texas	H-UT-PWC	Herbarium of the University of Texas. Plants of Williamson County, Texas	
Oklahoma		H-UTU	Herbarium of the University of Tulsa	
West Virginia		H-WV	Herbarium of the West Virginia	
		H-TCP	Herbarium of Thomas C. Porter	
Oklahoma		H-UTU	Herbarium of University of Tulsa	
Massachusetts		H-WC	Herbarium of Wellesley College	
Massachusetts	Massachusetts	H-WC-FMA	Herbarium of Wellesley College. Flora of Massachusetts	
Massachusetts	New Hampshire	H-WC-FNH	Herbarium of Wellesley College. Flora of New Hampshire	
Texas		H-WLM	Herbarium of William Larrey McCart. Fort Worth, Texas	
Texas		H-TTC	Herbarium Texas Technological College, Lubbock, Texas	
Oklahoma		H-UOK	Herbarium. The University of Oklahoma	
