decimalLongitude,decimalLatitude,glcPrecision,glcScore,glcParsePattern,coordinateUncertaintyMeters,catalogNumber
-105.223897,35.593932,Low,40,LAS VEGAS,5030,TTC000002
-105.223897,35.593932,High,85,LAS VEGAS,5030,TTC000004
-105.655351,36.186026,High,100,RIO PUEBLO AT RIO PUEBLO,90,TTC000005
-105.223897,35.593932,Low,40,LAS VEGAS,5030,TTC000006
-84.436145,45.76668,High,92,BOIS BLANC ISLAND,5421,TTC000008
-84.436145,45.76668,High,92,BOIS BLANC ISLAND,5421,TTC000009
-105.508332,40.072208,High,80,WARD,1193,TTC000010
-83.797152,40.058392,Medium,56,Near CEDAR SWAMP,301,TTC000011
-121.467195,40.112382,High,85,JONESVILLE,3036,TTC000012
-106.777838,37.453787,High,90,Distance NorthEast of PAGOSA SPRINGS,13970,TTC000014
-106.779802,37.447398,High,90,Distance NorthEast of PAGOSA SPRINGS,13970,TTC000014
-99.314345,19.050616,High,94,LAGUNAS DE ZEMPOALA,301,TTC000019
-96.408333,19.447222,Low,38,ZEMPOALA,301,TTC000019
-98.668356,19.916082,Low,38,ZEMPOALA,3036,TTC000019
-101.078677,20.316762,Low,38,ZEMPOALA,3036,TTC000019
-99.317375,19.049897,Low,38,ZEMPOALA,3036,TTC000019
-97.998391,20.086683,Low,38,ZEMPOALA,3036,TTC000019
-96.407495,19.44515,Low,38,ZEMPOALA,3036,TTC000019
-97.522621,17.575129,Low,37,LAGUNAS,3036,TTC000019
-101.750664,17.878817,Low,37,LAGUNAS,3036,TTC000019
-98.307285,21.210196,Low,37,LAGUNAS,3036,TTC000019
-95.069648,16.801281,Low,37,LAGUNAS,301,TTC000019
-106.4,24.616667,Low,37,LAGUNAS,3036,TTC000019
-106.316667,29.466667,Low,37,LAGUNAS,301,TTC000019
-97.265398,18.604186,Low,37,LAGUNAS,3036,TTC000019
-100.216667,22.066667,Low,37,LAGUNAS,301,TTC000019
-97.95,17,Low,37,LAGUNAS,3036,TTC000019
-86.431114,39.48764,Medium,59,Distance West of %SYCAMORE CREEK%->snapped to Sycamore Creek,323,TTC000020
-83.72394,42.283861,Low,49,ANN ARBOR->snapped to Huron River,7236,TTC000021
-97.104168,36.111138,High,89,Distance SOUTH of  then WEST of STILLWATER->snapped to Stillwater,16823,TTC000022
-82.11402,42.87668,Low,37,LAMBTON,301,TTC000023
-82.1025,42.8975,Low,37,LAMBTON,301,TTC000023
-82.11402,42.87668,Low,37,LAMBTON,301,TTC000024
-82.1025,42.8975,Low,37,LAMBTON,301,TTC000024
-107.351092,38.717682,High,99,GUNNISON NATIONAL FOREST,1189,TTC000025
-106.925321,38.545825,Low,39,GUNNISON,2766,TTC000025
-104.983035,40.051095,Low,38,NATIONAL,3036,TTC000025
-97.124649,36.125049,High,92,Distance WEST of  then NORTH of STILLWATER->snapped to Stillwater,12260,TTC000026
-122.177082,48.051764,High,86,MARYSVILLE,7274,TTC000027
-99.756342,30.492471,Medium,63,Near JUNCTION->snapped to Llano River,2522,TTC000028
-103.0005,34.763086,High,100,TIERRA BLANCA CREEK->snapped to Tierra Blanca Creek,210,TTC000029
-102.169343,34.850589,High,97,TIERRA BLANCA CREEK->snapped to Tierra Blanca Creek,210,TTC000029
-102.168464,34.846499,High,97,TIERRA BLANCA CREEK->snapped to Tierra Blanca Creek,210,TTC000029
-102.168464,34.846499,Low,38,CREEK->snapped to Tierra Blanca Creek,3036,TTC000029
-105.223897,35.593932,Low,40,LAS VEGAS,5030,TTC000030
-105.223897,35.593932,Low,40,LAS VEGAS,5030,TTC000031
-105.353345,35.679207,Low,38,GALLINAS,3036,TTC000031
-105.673041,33.331749,High,83,RUIDOSO,6178,TTC000034
-100.519868,36.816146,High,82,Distance NORTH of  then EAST of BEAVER,1486,TTC000035
-105.223897,35.593932,Low,40,LAS VEGAS,5030,TTC000037
-96.9253,35.327293,High,83,SHAWNEE,13954,TTC000038
